"Pickup State","Pickup City","Pickup Pincode",Seller,"Seller Code","Pickup Date","Shipping Date","Delivered Date","Order Id","AWB Number","Courier Partner","Payment Type","Ship Pincode","Ship State","Ship City",Zone,"Invoice Amount","Billing Weight (Kg)","Dimension(L * H * H)(CM)","Product Name","Current Status","Collectable Value","Freight Charges","RTO Charges","COD Charges","Total Charges","AWB Assigned Date","Last Sync","Final Charge","Number of NDR attempts","First NDR raised date","First NDR raised time","First NDR Action By","Reason for First NDR","Action date for First NDR","Action Status for First NDR","Remarks for First NDR","First Updated Address Line 1","First Updated Address Line 1","First Updated Mobile","Second NDR raised date","Second NDR raised time","Second NDR Action By","Reason for Second NDR","Action date for Second NDR","Action Status for Second NDR","Remarks for Second NDR","Second Updated Address Line 1","Second Updated Address Line 1","Second Updated Mobile","Third NDR raised date","Third NDR raised time","Third NDR Action By","Reason for Third NDR","Action date for Third NDR","Action Status for Third NDR","Remarks for Third NDR","Third Updated Address Line 1","Third Updated Address Line 1","Third Updated Mobile"
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 19:10:57",,MUSIC568,`27233510029444`,"Delhivery 2KG",prepaid,462026,"MADHYA PRADESH",BHOPAL,D,6700,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 19:10:57","2024-09-12 20:31:19",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 19:10:44",,MUSIC567,`27233510029433`,"Delhivery 2KG",prepaid,440012,MAHARASHTRA,NAGPUR,D,6600,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 19:10:44","2024-09-12 20:31:19",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 19:10:36",,MUSIC566,`27233510029422`,"Delhivery 2KG",prepaid,800007,BIHAR,PATNA,D,6500,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 19:10:36","2024-09-12 20:31:18",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 19:10:28",,MUSIC565,`27233510029411`,"Delhivery 2KG",prepaid,500072,TELANGANA,HYDERABAD,C,6400,2500,"98 * 10 * 10","Music Instrument","In Transit",0,231.28,231.28,0,231,"2024-09-11 19:10:28","2024-09-12 20:31:18",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:54:51",,MUSIC564,`TWI23830450164`,"SMC 2KG",prepaid,221010,"UTTAR PRADESH",VARANASI,D,6300,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,238.95,238.95,0,239,"2024-09-11 18:54:51","2024-09-12 20:30:35",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:54:29",,MUSIC563,`TWI23830450163`,"SMC 2KG",prepaid,263153,UTTARAKHAND,RUDRAPUR,B,6200,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,155.76,155.76,0,156,"2024-09-11 18:54:29","2024-09-12 20:30:26",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:53:47",,MUSIC562,`TWI23830450162`,"SMC 2KG",prepaid,712201,"WEST BENGAL",SERAMPORE,D,6100,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,238.95,238.95,0,239,"2024-09-11 18:53:47","2024-09-12 20:31:24",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:53:24",,MUSIC561,`27233510029400`,"Delhivery 2KG",prepaid,226010,"UTTAR PRADESH",LUCKNOW,D,5000,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 18:53:24","2024-09-12 20:31:15",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:53:02",,MUSIC560,`TWI23830450161`,"SMC 2KG",prepaid,380006,GUJARAT,AHMEDABAD,D,4900,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,238.95,238.95,0,239,"2024-09-11 18:53:02","2024-09-12 20:31:23",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:52:37",,MUSIC559,`TWI23830450160`,"SMC 2KG",prepaid,530027,TELANGANA,VISHAKAPATNAM,D,4800,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,238.95,238.95,0,239,"2024-09-11 18:52:37","2024-09-12 20:31:22",1
